# Entry/Exit (NX) pairs: EntrySensor	ExitSensor
# Add these manually in Layout Editor → Tools → Entry Exit → Add Pair
NX EB296	NX EB283
NX EB296	NX EB285
NX EB296	NX EB286
NX EB296	NX EB287
NX EB296	NX EB288
NX EB296	NX EB291
NX EB296	NX EB292
NX EB296	NX EB294
NX EB296	NX EB299
NX EB296	NX EB301
NX EB297	NX EB285
NX EB297	NX EB287
NX EB297	NX EB292
NX EB297	NX EB294
NX EB298	NX EB279
NX EB298	NX EB280
NX EB298	NX EB281
NX EB298	NX EB283
NX EB298	NX EB284
NX EB298	NX EB285
NX EB298	NX EB286
NX EB298	NX EB287
NX EB298	NX EB288
NX EB298	NX EB289
NX EB298	NX EB290
NX EB298	NX EB291
NX EB298	NX EB292
NX EB298	NX EB293
NX EB298	NX EB294
NX EB298	NX EB295
NX EB298	NX EB296
NX EB298	NX EB297
NX EB298	NX EB299
NX EB298	NX EB301
NX EB298	NX EB302
NX EB299	NX EB285
NX EB299	NX EB286
NX EB299	NX EB287
NX EB299	NX EB288
NX EB299	NX EB292
NX EB299	NX EB294
NX EB299	NX EB295
NX EB299	NX EB297
NX EB299	NX EB301
NX EB300	NX EB279
NX EB300	NX EB280
NX EB300	NX EB281
NX EB300	NX EB283
NX EB300	NX EB284
NX EB300	NX EB285
NX EB300	NX EB286
NX EB300	NX EB287
NX EB300	NX EB288
NX EB300	NX EB289
NX EB300	NX EB290
NX EB300	NX EB291
NX EB300	NX EB292
NX EB300	NX EB293
NX EB300	NX EB294
NX EB300	NX EB295
NX EB300	NX EB296
NX EB300	NX EB297
NX EB300	NX EB298
NX EB300	NX EB299
NX EB300	NX EB301
NX EB300	NX EB302
NX EB301	NX EB285
NX EB301	NX EB287
NX EB301	NX EB292
NX EB301	NX EB294
NX EB301	NX EB297
NX EB302	NX EB280
NX EB302	NX EB283
NX EB302	NX EB285
NX EB302	NX EB286
NX EB302	NX EB287
NX EB302	NX EB288
NX EB302	NX EB291
NX EB302	NX EB292
NX EB302	NX EB294
NX EB302	NX EB295
NX EB302	NX EB296
NX EB302	NX EB297
NX EB302	NX EB299
NX EB302	NX EB301
